PopNumber,PopName,Year,ML,Rep,Plant_ID,ShelfNumber,ShelfPlacement,SEEWRITTENDATA.GerminationDate,LC1,H1,LCH1_Date,LC2,H2,LCH2_Date,GrowthRate_LC (LC2-LC1)/days,GrowthRate_H (H2-H1)/days,FirstFlower_DayInDec
12,Florence,2003,13,4,8.3,8,3,10/6/22,2,6.1,10.17,33,102,11.3,1.823529412,5.641176471,16
1,Billings,2012,18,3,8.4,8,4,10/6/22,2,2.6,10.17,25,82.9,11.3,1.352941176,4.723529412,12
14,HareRd,2003,13,3,8.5,8,5,10/6/22,2,3.5,10.17,32,97.8,11.3,1.764705882,5.547058824,15
10,DuplinWest,2003,15,1,8.6,8,6,10/6/22,2,5.6,10.17,33,119.3,11.3,1.823529412,6.688235294,15
32,WalnutGrove,2012,14,2,8.7,8,7,10/6/22,3,4.5,10.17,26,115.5,11.3,1.352941176,6.529411765,15
19,McKinnon,2012,20,1,8.8,8,8,10/6/22,3,6,10.17,27,91.5,11.3,1.411764706,5.029411765,16
19,McKinnon,2012,27,2,8.9,8,9,10/6/22,3,6,10.17,23,105.5,11.3,1.176470588,5.852941176,16
32,WalnutGrove,2012,18,3,8.1,8,10,10/6/22,3,4.3,10.17,29,114.9,11.3,1.529411765,6.505882353,10
20,NewBildad,2016,2,2,8.11,8,11,10/6/22,3,4.2,10.17,23,104.5,11.3,1.176470588,5.9,15
20,NewBildad,2016,2,1,8.12,8,12,10/6/22,3,3.1,10.17,25,115.8,11.3,1.294117647,6.629411765,9
12,Florence,2003,7,3,8.13,8,13,10/6/22,3,7.5,10.17,29,91.7,11.3,1.529411765,4.952941176,14
32,WalnutGrove,2012,14,3,8.14,8,14,10/6/22,3,4.2,10.17,34,124.9,11.3,1.823529412,7.1,15
10,DuplinWest,2003,21,4,8.15,8,15,10/6/22,3,6.3,10.17,24,98.8,11.4,1.166666667,5.138888889,12
12,Florence,2003,10,3,8.16,8,16,10/6/22,3,3,10.17,28,99,11.4,1.388888889,5.333333333,14
20,NewBildad,2016,4,1,8.17,8,17,10/6/22,3,4.5,10.17,32,106.2,11.4,1.611111111,5.65,11
14,HareRd,2003,8,3,8.18,8,18,10/6/22,3,7.4,10.17,30,98.1,11.4,1.5,5.038888889,12
19,McKinnon,2012,30,1,8.19,8,19,10/6/22,4,6.4,10.17,27,95.1,11.4,1.277777778,4.927777778,20
10,DuplinWest,2003,12,1,8.2,8,20,10/6/22,5,35.3,10.17,37,127,11.4,1.777777778,5.094444444,15
10,DuplinWest,2016,13,1,8.21,8,21,10/6/22,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,DuplinWest,2016,13,2,8.22,8,22,10/6/22,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Florence,2003,12,3,8.23,8,23,10/6/22,3,5.9,10.17,24,123,11.4,1.166666667,6.505555556,14
12,Florence,2003,12,1,8.24,8,24,10/6/22,7,28.3,10.17,63,76,11.4,3.111111111,2.65,16
19,McKinnon,2012,6,2,9.1,9,1,10/6/22,4,6.1,10.17,30,145.1,11.2,1.625,8.6875,16
14,HareRd,2003,13,2,9.2,9,2,10/6/22,4,11.9,10.17,34,96.5,11.2,1.875,5.2875,11
10,DuplinWest,2012,22,2,9.3,9,3,10/6/22,4,30,10.17,29,87.2,11.2,1.5625,3.575,14
10,DuplinWest,2003,21,1,9.4,9,4,10/6/22,3,8.3,10.17,20,148.4,11.2,1.0625,8.75625,14
12,Florence,2003,8,1,9.5,9,5,10/6/22,5,24.6,10.17,36,115.1,11.2,1.9375,5.65625,8
10,DuplinWest,2016,3,1,9.6,9,6,10/6/22,4,9.5,10.17,30,117,11.2,1.625,6.71875,16
10,DuplinWest,2003,20,4,9.7,9,7,10/6/22,5,14.4,10.17,27,111,11.2,1.375,6.0375,6
19,Mckinnon,2003,3,1,9.8,9,8,10/6/22,7,14.6,10.17,25,59.4,11.2,1.125,2.8,14
20,NewBildad,2012,28,4,9.9,9,9,10/6/22,4,8.2,10.17,38,145.6,11.2,2.125,8.5875,11
1,Billings,2012,32,1,9.1,9,10,10/6/22,3,5.1,10.17,25,74.3,11.2,1.375,4.325,9
19,McKinnon,2012,36,2,9.11,9,11,10/6/22,3,4.8,10.17,23,112.5,11.3,1.176470588,65.62941176,16
14,HareRoad,2012,37,3,9.12,9,12,10/6/22,3,7.6,10.17,32,148.5,11.2,1.8125,8.80625,9
20,NewBildad,2016,5,3,9.13,9,13,10/6/22,3,3.2,10.17,24,80.1,11.3,1.235294118,4.523529412,16
18,Marion2,2003,1,3,9.14,9,14,10/6/22,3,5,10.17,31,94,11.2,1.75,5.5625,9
1,Billings,2003,8,3,9.15,9,15,10/6/22,4,4.3,10.17,24,79.6,11.3,1.176470588,4.429411765,9
10,DuplinWest,2016,21,1,9.16,9,16,10/6/22,3,3.5,10.17,16,65,11.2,0.8125,3.84375,16
20,NewBildad,2003,2,1,9.17,9,17,10/6/22,4,14.5,10.17,31,94.7,11.3,1.588235294,4.717647059,16
14,HareRd,2003,5,3,9.18,9,18,10/6/22,3,8,10.17,34,117.4,11.3,1.823529412,6.435294118,14
14,HareRd,2003,5,2,9.19,9,19,10/6/22,3,8.3,10.17,34,110.7,11.3,1.823529412,6.023529412,10
14,HareRoad,2012,29,1,9.2,9,20,10/6/22,3,9.4,10.17,27,108.2,11.3,1.411764706,5.811764706,15
12,Florence,2003,9,4,9.21,9,21,10/6/22,4,5,10.17,36,103.3,11.3,1.882352941,5.782352941,14
10,DuplinWest,2016,9,1,9.22,9,22,10/6/22,3,3.5,10.17,35,98.9,11.3,1.882352941,5.611764706,12
10,DuplinWest,2016,9,2,9.23,9,23,10/6/22,2,2.1,10.17,17,74.1,11.2,0.9375,4.5,17
1,Billings,2003,3,3,10.1,10,1,10/6/22,2,2.2,10.17,22,77.1,11.2,1.25,4.68125,14
20,NewBildad,2016,4,3,10.2,10,2,10/6/22,4,6.7,10.17,32,128.5,11.2,1.75,7.6125,14
14,HareRd,2003,6,1,10.3,10,3,10/6/22,2,5,10.17,26,140.4,11.2,1.5,8.4625,16
20,NewBildad,2003,10,1,10.4,10,4,10/6/22,4,21.7,10.17,28,107.4,11.2,1.5,5.35625,11
12,Florence,2003,11,3,10.5,10,5,10/6/22,4,7.4,10.17,28,98,11.2,1.5,5.6625,12
10,DuplinWest,2016,6,3,10.6,10,6,10/6/22,4,23.3,10.17,40,149.8,11.2,2.25,7.90625,14
15,Horry1,2003,1,2,10.7,10,7,10/6/22,4,18.1,10.17,29,97.8,11.2,1.5625,4.98125,14
12,Florence,2012,42,3,10.8,10,8,10/6/22,3,5.3,10.17,23,90.2,11.2,1.25,5.30625,12
20,NewBildad,2016,3,1,10.9,10,9,10/6/22,4,25.7,10.17,32,101.3,11.2,1.75,4.725,16
18,Marion2,2012,3,1,10.1,10,10,10/6/22,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Florence,2012,37,4,10.11,10,11,10/6/22,5,9.9,10.17,41,104,11.2,2.25,5.88125,11
12,Florence,2012,25,2,10.12,10,12,10/6/22,3,7.5,10.17,37,98,11.2,2.125,5.65625,17
