DEBUG 02-05 13:53:53,683 (ParserFactory.java:getParserInstance:185)  -Parser for type: Structurama is missing!
DEBUG 02-05 13:53:53,684 (ParserFactory.java:getParserInstance:173)  -New StructureParser instance
DEBUG 02-05 13:53:53,684 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 02-05 13:53:53,686 (WriterFactory.java:getWriterInstance:171)  -Writer for type: CONVERT is missing!
DEBUG 02-05 13:53:53,686 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP is missing!
DEBUG 02-05 13:53:53,686 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP_CEPH (Arlequin) is missing!
DEBUG 02-05 13:53:53,686 (WriterFactory.java:getWriterInstance:171)  -Writer for type: MAF is missing!
DEBUG 02-05 13:54:01,454 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
INFO  02-05 13:54:01,531 (PGDSpiderSpidEditor.java:changeFormat:470)  -Changed SPID file conversion to: VCF -> BAYENV
INFO  02-05 13:54:49,459 (PGDSpiderSpidEditor.java:windowClosing:540)  -SPID file was not saved.
DEBUG 02-05 13:54:50,197 (PGDSpiderGUI.java:closePGDSpider:526)  -Exiting PGDSpider
DEBUG 02-05 13:54:50,197 (PGDSpiderGUI.java:closePGDSpider:527)  -Save window size
DEBUG 02-05 13:54:50,247 (PGDSpiderGUI.java:closePGDSpider:531)  -Shutdown java vm ...
DEBUG 08-05 12:09:34,654 (PGDSpiderGUI.java:<init>:121)  -starting PGD Spider ...
INFO  08-05 12:09:34,664 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: E:\Users\Joanna\Dropbox\Professional\University_of_Michigan\WGS_pipeline\Baucom_Sasha_WGS\selection\bayenv\PGDSpider_2.1.1.5\PGDSpider_2.1.1.5\spider.conf.xml
DEBUG 08-05 12:09:35,464 (PGDSpiderGUI.java:initializeGUI:220)  -init actions
DEBUG 08-05 12:09:35,464 (PGDSpiderGUI.java:initializeGUI:233)  -init menu bar
DEBUG 08-05 12:09:35,489 (PGDSpiderGUI.java:initializeGUI:244)  -init input panel
DEBUG 08-05 12:09:35,489 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 08-05 12:09:35,494 (ParserFactory.java:getParserInstance:53)  -New ArlequinParser instance
DEBUG 08-05 12:09:35,504 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAMOVA is missing!
DEBUG 08-05 12:09:35,504 (ParserFactory.java:getParserInstance:57)  -New BamParser instance
DEBUG 08-05 12:09:35,514 (ParserFactory.java:getParserInstance:61)  -New BapsParser instance
DEBUG 08-05 12:09:35,514 (ParserFactory.java:getParserInstance:65)  -New BatwingParser instance
DEBUG 08-05 12:09:35,514 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAYENV is missing!
DEBUG 08-05 12:09:35,514 (ParserFactory.java:getParserInstance:69)  -New BcfParser instance
DEBUG 08-05 12:09:35,524 (ParserFactory.java:getParserInstance:73)  -New ConvertParser instance
DEBUG 08-05 12:09:35,524 (ParserFactory.java:getParserInstance:77)  -New EigensoftParser instance
DEBUG 08-05 12:09:35,524 (ParserFactory.java:getParserInstance:181)  -New ExtendedFastaParser instance
DEBUG 08-05 12:09:35,524 (ParserFactory.java:getParserInstance:81)  -New FastaParser instance
DEBUG 08-05 12:09:35,524 (ParserFactory.java:getParserInstance:85)  -New FastqParser instance
DEBUG 08-05 12:09:35,524 (ParserFactory.java:getParserInstance:185)  -Parser for type: FDist2 (datacal) is missing!
DEBUG 08-05 12:09:35,524 (ParserFactory.java:getParserInstance:89)  -New FstatParser instance
DEBUG 08-05 12:09:35,524 (ParserFactory.java:getParserInstance:93)  -New GdaParser instance
DEBUG 08-05 12:09:35,534 (ParserFactory.java:getParserInstance:97)  -New GenelandParser instance
DEBUG 08-05 12:09:35,534 (ParserFactory.java:getParserInstance:101)  -New GenepopParser instance
DEBUG 08-05 12:09:35,534 (ParserFactory.java:getParserInstance:105)  -New GenetixParser instance
DEBUG 08-05 12:09:35,534 (ParserFactory.java:getParserInstance:185)  -Parser for type: GESTE / BayeScan is missing!
DEBUG 08-05 12:09:35,534 (ParserFactory.java:getParserInstance:109)  -New HgdpParser instance
DEBUG 08-05 12:09:35,534 (ParserFactory.java:getParserInstance:113)  -New HgdpCephParser instance
DEBUG 08-05 12:09:35,534 (ParserFactory.java:getParserInstance:117)  -New Ima2Parser instance
DEBUG 08-05 12:09:35,544 (ParserFactory.java:getParserInstance:121)  -New ImmancParser instance
DEBUG 08-05 12:09:35,545 (ParserFactory.java:getParserInstance:125)  -New ImParser instance
DEBUG 08-05 12:09:35,564 (ParserFactory.java:getParserInstance:185)  -Parser for type: KML is missing!
DEBUG 08-05 12:09:35,564 (ParserFactory.java:getParserInstance:129)  -New MafParser instance
DEBUG 08-05 12:09:35,564 (ParserFactory.java:getParserInstance:133)  -New MegaParser instance
DEBUG 08-05 12:09:35,564 (ParserFactory.java:getParserInstance:137)  -New MigrateParser instance
DEBUG 08-05 12:09:35,564 (ParserFactory.java:getParserInstance:141)  -New MsaParser instance
DEBUG 08-05 12:09:35,574 (ParserFactory.java:getParserInstance:185)  -Parser for type: MSVar is missing!
DEBUG 08-05 12:09:35,574 (ParserFactory.java:getParserInstance:145)  -New NewHybridsParser instance
DEBUG 08-05 12:09:35,574 (ParserFactory.java:getParserInstance:149)  -New NexusParser instance
DEBUG 08-05 12:09:35,574 (ParserFactory.java:getParserInstance:153)  -New OneSampParser instance
DEBUG 08-05 12:09:35,574 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
DEBUG 08-05 12:09:35,584 (ParserFactory.java:getParserInstance:165)  -New PhylipParser instance
DEBUG 08-05 12:09:35,584 (ParserFactory.java:getParserInstance:169)  -New SamParser instance
DEBUG 08-05 12:09:35,584 (ParserFactory.java:getParserInstance:185)  -Parser for type: Structurama is missing!
DEBUG 08-05 12:09:35,584 (ParserFactory.java:getParserInstance:173)  -New StructureParser instance
DEBUG 08-05 12:09:35,584 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 08-05 12:09:35,594 (PGDSpiderGUI.java:initializeGUI:247)  -init output panel
DEBUG 08-05 12:09:35,614 (WriterFactory.java:getWriterInstance:171)  -Writer for type: CONVERT is missing!
DEBUG 08-05 12:09:35,624 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP is missing!
DEBUG 08-05 12:09:35,624 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP_CEPH (Arlequin) is missing!
DEBUG 08-05 12:09:35,634 (WriterFactory.java:getWriterInstance:171)  -Writer for type: MAF is missing!
DEBUG 08-05 12:09:35,664 (PGDSpiderGUI.java:initializeGUI:250)  -init spid panel
DEBUG 08-05 12:09:35,664 (PGDSpiderGUI.java:initializeGUI:253)  -init log panel
DEBUG 08-05 12:09:35,664 (PGDSpiderGUI.java:initializeGUI:256)  -init button panel
DEBUG 08-05 12:09:37,654 (PGDSpiderGUI.java:<init>:187)  -PGD Spider up and running...
